"id","gospel","letters","psalms_proverbs","old_test"
164,"Luke 10:17-24","1 Thessalonians 3:7-13","Psalms 139","2 Chron 3-5"
165,"Luke 10:25-37","1 Thessalonians 4:1-10","Psalms 140","2 Chron 6-7"
166,"Luke 10:38-42","1 Thessalonians 4:11-18","Psalms 141","2 Chron 8-9"
167,"Luke 11:1-13","1 Thessalonians 5:1-11","Psalms 142","2 Chron 10-12"
168,"Luke 11:14-28","1 Thessalonians 5:12-28","Psalms 143","2 Chron 13-16"
169,"Luke 11:29-36","2 Thessalonians 1:1-7","Psalms 144","2 Chron 17-19"
170,"Luke 11:37-54","2 Thessalonians 1:8-12","Psalms 145","2 Chron 20-21"
171,"Luke 12:1-12","2 Thessalonians 2:1-12","Psalms 146","2 Chron 22-24"
172,"Luke 12:13-21","2 Thessalonians 2:13-17","Psalms 147","2 Chron 25-27"
173,"Luke 12:22-34","2 Thessalonians 3:1-5","Psalms 148","2 Chron 28-29"
174,"Luke 12:35-48","2 Thessalonians 3:6-13","Psalms 149","2 Chron 30-33"
175,"Luke 12:49-59","2 Thessalonians 3:14-18","Psalms 150","2 Chron 34-36"
176,"Luke 13:1-9","1 Timothy 1:1-11","Proverbs 1","Ezra 1-2"
177,"Luke 13:10-21","1 Timothy 1:12-20","Proverbs 2","Ezra 3"
178,"Luke 13:22-35","1 Timothy 2","Proverbs 3","Ezra 4-5"
179,"Luke 14:1-14","1 Timothy 3:1-10","Proverbs 4","Ezra 6"
180,"Luke 14:15-24","1 Timothy 3:11-16","Proverbs 5","Ezra 7"
181,"Luke 14:25-35","1 Timothy 4","Proverbs 6","Ezra 8"
182,"Luke 15:1-10","1 Timothy 5:1-15","Proverbs 7","Ezra 9"
183,"Luke 15:11-32","1 Timothy 5:16-25","Proverbs 8","Ezra 10"
184,"Luke 16:1-9","1 Timothy 6:1-10","Proverbs 9","Neh 1-2"
185,"Luke 16:10-18","1 Timothy 6:11-21","Proverbs 10:1-16","Neh 3"
186,"Luke 16:19-31","2 Timothy 1:1-7","Proverbs 10:17-32","Neh 4-5"
187,"Luke 17:1-10","2 Timothy 1:8-18","Proverbs 11:1-15","Neh 6"
188,"Luke 17:11-19","2 Timothy 2:1-13","Proverbs 11:16-31","Neh 7"
189,"Luke 17:20-37","2 Timothy 2:14-26","Proverbs 12:1-14","Neh 8"
190,"Luke 18:1-8","2 Timothy 3:1-9","Proverbs 12:15-28","Neh 9"
191,"Luke 18:9-17","2 Timothy 3:10-17","Proverbs 13:1-12","Neh 10"
192,"Luke 18:18-30","2 Timothy 4","Proverbs 13:13-25","Neh 11"
193,"Luke 18:31-43","Titus 1:1-9","Proverbs 14:1-18","Neh 12"
194,"Luke 19:1-10","Titus 1:10-16","Proverbs 14:19-35","Neh 13"
195,"Luke 19:11-27","Titus 2:1-10","Proverbs 15:1-17","Esther 1"
196,"Luke 19:28-38","Titus 2:11-15","Proverbs 15:18-33","Esther 2"
197,"Luke 19:39-48","Titus 3:1-8","Proverbs 16:1-16","Esther 3-4"
198,"Luke 20:1-8","Titus 3:9-15","Proverbs 16:17-33","Esther 5-6"
199,"Luke 20:9-19","Philemon 1-11","Proverbs 17:1-14","Esther 7-8"
200,"Luke 20:20-26","Philemon 12-25","Proverbs 17:15-28","Esther 9-10"
201,"Luke 20:27-40","Hebrews 1:1-9","Proverbs 18","Isaiah 1-2"
202,"Luke 20:41-47","Hebrews 1:10-14","Proverbs 19:1-14","Isaiah 3-5"
203,"Luke 21:1-19","Hebrews 2:1-9","Proverbs 19:15-29","Isaiah 6-8"
204,"Luke 21:20-28","Hebrews 2:10-18","Proverbs 20:1-15","Isaiah 9-10"
205,"Luke 21:29-38","Hebrews 3","Proverbs 20:16-30","Isaiah 11-13"
206,"Luke 22:1-13","Hebrews 4:1-11","Proverbs 21:1-16","Isaiah 14-16"
207,"Luke 22:14-23","Hebrews 4:12-16","Proverbs 21:17-31","Isaiah 17-20"
208,"Luke 22:24-30","Hebrews 5","Proverbs 22:1-16","Isaiah 21-23"
209,"Luke 22:31-38","Hebrews 6:1-12","Proverbs 22:17-29","Isaiah 24-26"
210,"Luke 22:39-46","Hebrews 6:13-20","Proverbs 23:1-18","Isaiah 27-28"
211,"Luke 22:47-53","Hebrews 7:1-10","Proverbs 23:19-35","Isaiah 29-30"
212,"Luke 22:54-62","Hebrews 7:11-28","Proverbs 24:1-22","Isaiah 31-33"
213,"Luke 22:63-71","Hebrews 8:1-6","Proverbs 24:23-34","Isaiah 34-36"
214,"Luke 23:1-12","Hebrews 8:7-13","Proverbs 25:1-14","Isaiah 37-39"
215,"Luke 23:13-25","Hebrews 9:1-10","Proverbs 25:15-28","Isaiah 40-41"
216,"Luke 23:26-31","Hebrews 9:11-28","Proverbs 26:1-16","Isaiah 42-43"
217,"Luke 23:32-37","Hebrews 10:1-18","Proverbs 26:17-28","Isaiah 44-45"
218,"Luke 23:38-43","Hebrews 10:19-39","Proverbs 27:1-14","Isaiah 46-48"
219,"Luke 23:44-49","Hebrews 11:1-16","Proverbs 27:15-27","Isaiah 49-50"
220,"Luke 23:50-56","Hebrews 11:17-31","Proverbs 28:1-14","Isaiah 51-53"
221,"Luke 24:1-12","Hebrews 11:32-40","Proverbs 28:15-28","Isaiah 54-55"
222,"Luke 24:13-27","Hebrews 12:1-13","Proverbs 29:1-14","Isaiah 56-58"
223,"Luke 24:28-35","Hebrews 12:14-29","Proverbs 29:15-27","Isaiah 59-61"
224,"Luke 24:36-44","Hebrews 13:1-8","Proverbs 30","Isaiah 62-64"
225,"Luke 24:45-53","Hebrews 13:9-25","Proverbs 31","Isaiah 65-66"
226,"John 1:1-18","James 1:1-11","Ecclesiastes 1","Jeremiah 1-2"
227,"John 1:19-28","James 1:12-18","Ecclesiastes 2:1-16","Jeremiah 3-4"
228,"John 1:29-34","James 1:19-27","Ecclesiastes 2:17-26","Jeremiah 5-6"
229,"John 1:35-42","James 2:1-13","Ecclesiastes 3:1-15","Jeremiah 7-9"
230,"John 1:43-51","James 2:14-26","Ecclesiastes 3:16-22","Jeremiah 10-11"
231,"John 2:1-11","James 3:1-12","Ecclesiastes 4","Jeremiah 12-13"
232,"John 2:12-25","James 3:13-18","Ecclesiastes 5","Jeremiah 14-15"
233,"John 3:1-15","James 4:1-10","Ecclesiastes 6","Jeremiah 16-18"
234,"John 3:16-21","James 4:11-17","Ecclesiastes 7:1-14","Jeremiah 19-22"
235,"John 3:22-36","James 5:1-6","Ecclesiastes 7:15-29","Jeremiah 23-25"
236,"John 4:1-14","James 5:7-12","Ecclesiastes 8","Jeremiah 26-29"
